date,year,month,day,voltage,arus,power,energy,frequency,powerfactor
21/02/2021,2021,2,21,204.1,0.03,0.8,0.64,50.1,0.13
21/02/2021,2021,2,21,204.9,0.03,0.8,0.64,49.9,0.13
21/02/2021,2021,2,21,205.4,0.03,0.8,0.64,49.8,0.13
21/02/2021,2021,2,21,207.8,0.03,0.8,0.64,49.9,0.12
21/02/2021,2021,2,21,206,0.03,0.9,0.64,49.8,0.14
21/02/2021,2021,2,21,209.3,0.03,0.9,0.64,50,0.13
21/02/2021,2021,2,21,206.1,0.03,0.8,0.64,50,0.13
21/02/2021,2021,2,21,208.2,0.03,0.9,0.64,50.1,0.14
21/02/2021,2021,2,21,206.3,0.03,0.8,0.64,50,0.12
21/02/2021,2021,2,21,206.2,0.03,0.9,0.64,50,0.14
21/02/2021,2021,2,21,204.7,0.03,0.8,0.64,50,0.13
21/02/2021,2021,2,21,202.3,0.03,0.8,0.64,49.9,0.13
21/02/2021,2021,2,21,196,0.03,0.8,0.64,50,0.14
21/02/2021,2021,2,21,196.1,0.03,0.7,0.64,49.9,0.12
21/02/2021,2021,2,21,193.5,0.15,26.3,0.64,50,0.89
21/02/2021,2021,2,21,194.7,0.15,26.3,0.65,49.9,0.89
21/02/2021,2021,2,21,196,0.03,0.7,0.74,49.8,0.12
21/02/2021,2021,2,21,194.3,0.03,0.7,0.74,49.8,0.12
21/02/2021,2021,2,21,194.6,0.03,0.8,0.74,50,0.14
21/02/2021,2021,2,21,200.9,0.03,0.8,0.74,50,0.13
21/02/2021,2021,2,21,197.8,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,200.4,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,200.7,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,197.7,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,198.8,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,201.3,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,201.8,0.03,0.8,0.74,49.8,0.13
22/02/2021,2021,2,22,201.1,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,202.2,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,201.2,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,201.1,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,203.3,0.03,0.8,0.74,49.7,0.13
22/02/2021,2021,2,22,201,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,204.7,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,202.7,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,204,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,204.4,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,202.3,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,204.1,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,204.8,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,206,0.03,0.9,0.74,49.9,0.14
22/02/2021,2021,2,22,203.5,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,204.6,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,205.7,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,203.4,0.03,0.8,0.74,50.1,0.13
22/02/2021,2021,2,22,203.9,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,204.6,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,204.6,0.03,0.8,0.74,50,0.12
22/02/2021,2021,2,22,205.3,0.03,0.9,0.74,50,0.14
22/02/2021,2021,2,22,203.8,0.03,0.8,0.74,49.9,0.13
22/02/2021,2021,2,22,204.2,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,205.2,0.03,0.9,0.74,49.9,0.14
22/02/2021,2021,2,22,205.7,0.03,0.8,0.74,50,0.12
22/02/2021,2021,2,22,200.8,0.03,0.8,0.74,50,0.13
22/02/2021,2021,2,22,210.4,0.03,0.8,0.74,50,0.12
22/02/2021,2021,2,22,210.4,0.03,0.9,0.74,50,0.13
